1562974805594,null,1,garageRelay,1
1562974805594,null,1,relay2,1
1562974805594,null,60.25,humidity_local,60.25
1562974805594,null,20.0,temp_remote0,20.0
1562974805594,null,47,humidity_remote0,47
1562974815594,null,47,humidity_remote0,47
1562974815594,null,324,presistor_remote0,324
1562974815594,null,0,ledIndicator,0
1562974815594,null,1,garageRelay,1
1562974815594,null,1,relay2,1
1562974815594,null,60.25,humidity_local,60.25
1562974815594,null,20.0,temp_remote0,20.0
1562974815594,null,21.50,temp_local,21.50
1562974825602,null,47,humidity_remote0,47
1562974825602,null,60.25,humidity_local,60.25
1562974825602,null,0,ledIndicator,0
1562974825602,null,1,garageRelay,1
1562974825602,null,1,relay2,1
1562974825602,null,308,presistor_remote0,308
1562974825602,null,20.0,temp_remote0,20.0
1562974825602,null,21.50,temp_local,21.50
1562974835606,null,47,humidity_remote0,47
1562974835606,null,309,presistor_remote0,309
1562974835606,null,0,ledIndicator,0
1562974835606,null,1,garageRelay,1
1562974835606,null,1,relay2,1
1562974835606,null,60.25,humidity_local,60.25
1562974835606,null,20.0,temp_remote0,20.0
1562974835606,null,21.50,temp_local,21.50
1562974845609,null,21.50,temp_local,21.50
1562974845609,null,322,presistor_remote0,322
1562974845609,null,0,ledIndicator,0
1562974845609,null,1,garageRelay,1
1562974845609,null,1,relay2,1
1562974845609,null,60.25,humidity_local,60.25
1562974845609,null,20.0,temp_remote0,20.0
1562974845609,null,47,humidity_remote0,47
1562974855612,null,21.50,temp_local,21.50
1562974855612,null,324,presistor_remote0,324
1562974855612,null,0,ledIndicator,0
1562974855612,null,1,garageRelay,1
1562974855612,null,1,relay2,1
1562974855612,null,60.25,humidity_local,60.25
1562974855612,null,20.0,temp_remote0,20.0
1562974855612,null,47,humidity_remote0,47
1562974865612,null,21.50,temp_local,21.50
1562974865612,null,331,presistor_remote0,331
1562974865612,null,0,ledIndicator,0
1562974865612,null,1,garageRelay,1
1562974865612,null,1,relay2,1
1562974865612,null,60.25,humidity_local,60.25
1562974865612,null,20.0,temp_remote0,20.0
